SC_ALL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_all_p2,42,2.285714286,0.880630572,101501,101501,143899.2018
SC_all_p2,11,2,0,188983,188983,178382
SC_all_p2,12,6,0,0,0,0
SC_all_p2,15,2,0,258879,258879,25465
SC_all_p2,4,2,0,233414,233414,0
SC_all_p2,8,2.5,0.5,125955.5,125955.5,107458.5
SC_all_p2,23,2,0,221459.25,221459.25,136119.7645
SC_all_p2,24,1.833333333,0.687184271,188705.6667,188705.6667,241974.8866
SC_all_p2,14,2,0,10532,10532,0
SC_all_p2,5,3,0,14899,14899,0
SC_all_p2,12,2,0.816496581,138382.6667,138382.6667,104086.8651
SC_all_p2,10,4,0,0,0,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,8,2,0,233414,233414,0
SC_all_p2,11,2,0,714,714,0
SC_all_p2,21,3.333333333,0.471404521,16817.33333,16817.33333,22687.47658
SC_all_p2,8,2.5,0.5,146427,146427,137917
SC_all_p2,15,3.5,1.5,367365,367365,0
SC_all_p2,20,3,0,389,389,0
SC_all_p2,8,2,0,367365,367365,0
SC_all_p2,12,2,0,284344,284344,0
SC_all_p2,64,2.9,1.3,96726.25,96726.25,102911.5987
SC_all_p2,63,2.714285714,1.577908717,156052.6,156052.6,266351.0368
SC_all_p2,26,2.666666667,1.247219129,42433,42433,0
SC_all_p2,27,3,0.632455532,6310.8,6310.8,6962.080879
SC_all_p2,12,2.333333333,1.247219129,4152.666667,4152.666667,5340.140468
SC_all_p2,9,2.5,0.5,27953,27953,3144
SC_all_p2,29,2.8,0.748331477,60068.8,60068.8,112195.8376
SC_all_p2,10,2.5,0.5,146852.5,146852.5,137491.5
SC_all_p2,6,2,0,2765,2765,0
SC_all_p2,4,2,0,233414,233414,0
SC_all_p2,7,2,0,11478,11478,0
SC_all_p2,6,2,0,11206,11206,0
SC_all_p2,12,2,0,975,975,133
SC_all_p2,10,2.5,0.5,20530.5,20530.5,13093.5
SC_all_p2,5,1,0,6354,6354,5217
SC_all_p2,3,2,0,284344,284344,0
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,8,2,0,184259,184259,183106
SC_all_p2,23,2,0,221459.25,221459.25,136119.7645
SC_all_p2,10,2,0,117064,117064,116350
SC_all_p2,18,1.5,0.5,98457,98457,80475.44982
SC_all_p2,23,2.5,0.5,106621.25,106621.25,106657.5154
SC_all_p2,36,2.666666667,1.105541597,87392.5,87392.5,114691.077
SC_all_p2,39,1.375,0.695970545,545464.625,462194,245973.7
SC_all_p2,10,3,0,9413,9413,3112
SC_all_p2,22,2.333333333,0.471404521,23438.66667,23438.66667,16011.33551
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,9,4,0,0,0,0
SC_all_p2,7,2,0,284344,284344,0
SC_all_p2,5,1,0,3166,3166,0
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,13,2,0,27837,27837,0
SC_all_p2,7,3,0,138,138,0
SC_all_p2,4,2,0,367365,367365,0
SC_all_p2,5,1,0,3166,3166,0
SC_all_p2,10,2,0,117064,117064,116350
SC_all_p2,19,2.666666667,0.471404521,11534.33333,11534.33333,15620.82862
SC_all_p2,7,1,0,25691,25691,0
SC_all_p2,22,3.25,1.639359631,119707,119707,116988.1937
SC_all_p2,21,2.666666667,0.942809042,96118,96118,133104.7419
SC_all_p2,4,1,0,42433,42433,0
SC_all_p2,9,2,0,10702,10702,0
SC_all_p2,22,3,0,17377,17377,24159.01476
SC_all_p2,15,3,1,233414,233414,0
SC_all_p2,10,2,0,117064,117064,116350
SC_all_p2,27,2.333333333,0.471404521,100707,100707,94970.68634
SC_all_p2,24,2.75,1.479019946,84905.75,84905.75,116005.1301
SC_all_p2,19,3,0.816496581,97806.66667,97806.66667,131933.5143
SC_all_p2,13,2,0,233414,233414,0
SC_all_p2,30,2,0,119965.25,82149,113487.7544
SC_all_p2,53,2.333333333,1.247219129,136650.5,136650.5,96763.5
SC_all_p2,8,1.5,0.5,385069.5,385069.5,299179.5
SC_all_p2,16,2.333333333,0.471404521,166994,133784,93932.06481
SC_all_p2,6,2,0,10532,10532,0
SC_all_p2,7,2,0,62080,62080,60281
SC_all_p2,9,3,0,308,308,0
SC_all_p2,8,3,0,33624,33624,0
SC_all_p2,33,2.4,0.489897949,167948,151581.5,106053.9731
SC_all_p2,11,2.5,0.5,19365.5,19365.5,14258.5
SC_all_p2,5,3,0,7224,7224,0
SC_all_p2,5,4,0,789,789,0
SC_all_p2,9,3,0,33624,33624,0
SC_all_p2,15,2,0,278064.3333,300389.5,63145.10696
SC_all_p2,19,3,0.816496581,8240.666667,8240.666667,10603.52197
SC_all_p2,10,2,0,367365,367365,0
SC_all_p2,11,3,0,18300,18300,0
SC_all_p2,9,3,0,33624,33624,0
SC_all_p2,13,1.5,0.5,342868,342868,341381
SC_all_p2,6,2,0,187864.5,187864.5,179500.5
SC_all_p2,5,2,0,367365,367365,0
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,13,2,0,367365,367365,0
SC_all_p2,12,2,0,2910.5,2910.5,2196.5
SC_all_p2,27,2.333333333,0.471404521,100707,100707,94970.68634
SC_all_p2,22,2.333333333,1.247219129,108216.6667,108216.6667,125578.817
SC_all_p2,25,3,0.816496581,143534.5,143534.5,140809.5
SC_all_p2,9,2,0,325854.5,325854.5,41510.5
SC_all_p2,11,2,1,342589.5,342589.5,341659.5
SC_all_p2,9,3,0,5240,5240,0
SC_all_p2,9,2,1,41515,41515,40397
SC_all_p2,7,1.5,0.5,385069.5,385069.5,299179.5
SC_all_p2,33,2.2,0.4,220352.2,211644.3333,106578.0136
SC_all_p2,14,2.666666667,0.942809042,325854.5,325854.5,41510.5
SC_all_p2,12,1.666666667,0.471404521,140030,140030,161420.4606
SC_all_p2,8,2,0,8611,8611,0
SC_all_p2,14,2,0,367365,367365,0
SC_all_p2,15,2.5,0.5,133519,133519,99895
