SC_BGT_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_BGT_p3,193,2.71875,1.462753717,123551.7407,129801.0417,210057.5479
SC_BGT_p3,174,2.727272727,1.080760879,100167.3548,80337.67857,202958.4177
SC_BGT_p3,65,2.428571429,0.820651807,96857.64286,96857.64286,187536.9799
SC_BGT_p3,39,3.285714286,1.27775313,78402,78402,99058.26781
SC_BGT_p3,56,2.357142857,0.971533608,72601.64286,86600.9,172374.3256
SC_BGT_p3,42,3,0,49168.5,43964.85714,36550.19294
SC_BGT_p3,45,2.777777778,1.030402055,83691.57143,83691.57143,72901.52837
SC_BGT_p3,107,2.578947368,1.09139165,162854.0588,162854.0588,254845.7551
SC_BGT_p3,61,3.222222222,0.916245695,25358.75,25358.75,38160.76576
SC_BGT_p3,95,2.25,0.901387819,144242.6,144242.6,230403.2849
SC_BGT_p3,123,2.545454545,1.405420439,241798.5625,178591.3571,270971.4332
SC_BGT_p3,114,2.105263158,0.911605688,50465.72222,51605.05882,77923.80626
SC_BGT_p3,118,2.315789474,0.861616081,55665.11765,57200.625,79638.01645
SC_BGT_p3,112,2.380952381,0.722178614,106528.8095,50961.5625,117646.2855
SC_BGT_p3,72,2.5,0.866025404,143275.0909,134261.2,146680.1617
SC_BGT_p3,58,2.375,0.484122918,90934.25,90934.25,128204.0218
SC_BGT_p3,115,2.619047619,1.090049823,163166.7778,156038.7059,224252.3599
SC_BGT_p3,193,2.939393939,1.496245684,137016.2963,140077.4231,238911.3751
SC_BGT_p3,148,2.833333333,1.404358296,128763.75,128763.75,213380.6852
SC_BGT_p3,42,2.75,0.433012702,79669.85714,79669.85714,122816.8529
SC_BGT_p3,201,2.5,0.885061203,106429.2414,97022.96296,160269.924
SC_BGT_p3,195,2.473684211,0.993050645,180234.697,169387.2069,236962.5395
SC_BGT_p3,127,2.941176471,0.937492791,31466.13333,31466.13333,64404.98476
SC_BGT_p3,150,3.529411765,1.288758959,34423.5,34423.5,36059.89375
SC_BGT_p3,116,2.294117647,1.125360381,119211.6,119211.6,179235.2703
SC_BGT_p3,233,2.763157895,0.901291778,61751.88235,47839.875,134473.7577
SC_BGT_p3,95,2.428571429,0.820651807,79786.25,79786.25,127667.7368
SC_BGT_p3,200,2.147058824,0.87891487,120316.5882,121209.2903,199422.4865
SC_BGT_p3,98,2.555555556,0.955813919,156553.7778,156553.7778,242641.3949
SC_BGT_p3,164,2.72,1.183891887,97706.69565,89362,164881.4091
SC_BGT_p3,77,2,0.816496581,237071.9286,212405.6667,288461.9164
SC_BGT_p3,76,2.615384615,1.273303489,188655.4167,188655.4167,287607.5824
SC_BGT_p3,162,2.612903226,1.09772255,105237.1667,106290.4444,206278.0725
SC_BGT_p3,50,2.5,1,165822.4286,165822.4286,244700.0295
SC_BGT_p3,108,2.263157895,0.784192865,80320.94444,58001.1875,101903.8895
SC_BGT_p3,108,2.647058824,0.903664206,56726.3125,56726.3125,106242.46
SC_BGT_p3,83,2.5,0.823754471,68353.07143,73357.53846,125008.327
SC_BGT_p3,147,2.96,1.399428455,140489,118910.75,174007.3084
SC_BGT_p3,163,2.714285714,1.220571964,140529.5385,112922.7727,170954.9505
SC_BGT_p3,80,2.307692308,0.91016612,116073.9231,116073.9231,195731.8357
SC_BGT_p3,122,2.4,0.8,110736.2632,96303.58824,171724.4455
SC_BGT_p3,93,2.5,1.118033989,126606.5,126606.5,200194.7044
SC_BGT_p3,131,2.5,0.796627507,93372.84615,85734,155532.8391
SC_BGT_p3,140,2.666666667,0.769800359,74578.2,74578.2,141940.6824
SC_BGT_p3,139,2.703703704,0.852656625,73607.68,73607.68,142730.3002
SC_BGT_p3,141,2.62962963,0.867014808,81303.53846,73181.92,145887.1714
SC_BGT_p3,138,2.555555556,0.955813919,134568.4815,134568.4815,238770.2376
SC_BGT_p3,137,2.692307692,1.13575562,131406.3478,124454.6364,200253.5005
SC_BGT_p3,105,1.888888889,0.737027731,212756.5556,212756.5556,244628.8791
SC_BGT_p3,12,2,1,192131,192131,284805.5976
SC_BGT_p3,48,1.875,0.78062475,103019,103019,109393.9105
SC_BGT_p3,55,2.363636364,0.771389216,83032.27273,83032.27273,192012.649
SC_BGT_p3,162,2.483870968,1.011895945,99588.37037,84807.92,157487.4079
SC_BGT_p3,190,2.473684211,1.019206144,168827.8857,134595.75,238025.794
SC_BGT_p3,112,2.8,0.748331477,40025.77778,43209.125,86900.75445
SC_BGT_p3,309,2.707317073,0.993734087,67777.27778,71803.45455,162354.2099
SC_BGT_p3,90,2.882352941,0.899826973,93157.625,93642.13333,175938.7677
SC_BGT_p3,66,2.466666667,0.718021974,129899.7143,133285.0769,181529.228
SC_BGT_p3,104,2.333333333,1.011050059,133786.1333,133786.1333,195734.8783
SC_BGT_p3,84,2.714285714,1.332482722,146586.4615,158640.25,248321.0719
SC_BGT_p3,73,2.846153846,1.230769231,69130.15385,74731.75,115460.9187
SC_BGT_p3,89,2.625,0.695970545,113810.6667,121467.3571,140569.0393
SC_BGT_p3,132,2.307692308,1.201576873,126523.5417,126523.5417,203653.9734
SC_BGT_p3,109,2.55,0.973396117,112247.8889,112247.8889,212678.0817
SC_BGT_p3,68,2.333333333,1.178511302,124540.5833,124540.5833,250576.796
SC_BGT_p3,77,2.363636364,0.881396338,200391.1,179562.1429,219974.2612
SC_BGT_p3,79,2.538461538,1.216260639,135939.3846,140110.1667,236112.5163
SC_BGT_p3,172,2.578947368,0.87754379,82606.70588,53768,106261.2195
SC_BGT_p3,94,2.545454545,1.437398936,200917.2,191647.5556,264009.0502
SC_BGT_p3,127,2.894736842,1.118962717,41555.125,41555.125,69402.21287
SC_BGT_p3,200,2.586956522,1.074933506,80679.54545,72193.85714,143354.6445
SC_BGT_p3,21,2.6,0.8,23602.6,23602.6,31719.27622
SC_BGT_p3,60,2.6,0.916515139,55988.11111,52250.375,87790.47233
SC_BGT_p3,169,2.925925926,1.245017505,111061.6667,97696.5,189911.696
SC_BGT_p3,122,2.47826087,0.82723033,91558.04762,95369.47368,167729.8853
SC_BGT_p3,66,2,0.632455532,290773.7333,245218.9167,236897.6089
SC_BGT_p3,73,2.571428571,0.979379229,125074.9167,125074.9167,139593.708
SC_BGT_p3,135,2.666666667,1.280190958,108882.1429,102655.55,197332.5218
SC_BGT_p3,126,2.333333333,0.890870806,127011.3,108234.3529,178944.9658
SC_BGT_p3,81,2.615384615,1.211385827,149236.5833,161421.1818,247222.9937
SC_BGT_p3,114,2.5,1.118033989,219788.0625,209949.6,230169.585
SC_BGT_p3,66,2.444444444,0.496903995,188271.7778,188271.7778,157574.2363
SC_BGT_p3,91,2.769230769,1.120016906,146067,146067,202575.0945
SC_BGT_p3,83,2.642857143,1.04246568,193881.8333,229705.6,251095.4534
SC_BGT_p3,89,2.769230769,0.890448993,127490.0769,127490.0769,201814.0001
SC_BGT_p3,86,2.75,1.421560176,96415,96415,128058.1365
SC_BGT_p3,86,2.090909091,0.792527081,304676.4545,333667.8,267881.7618
SC_BGT_p3,135,2.842105263,1.267536271,112975.9375,112975.9375,185750.2915
SC_BGT_p3,84,2.357142857,1.108869621,201987.5,216389.3846,264834.9188
SC_BGT_p3,304,2.452380952,1.095496864,81815.89744,59522.05882,145036.4015
SC_BGT_p3,155,2.838709677,1.05024649,70723.25,62811.37037,151421.1324
SC_BGT_p3,130,2.391304348,1.010343482,127712.6818,120254.0476,203738.2225
SC_BGT_p3,89,2.4,0.952190457,142997.5333,142997.5333,230639.817
SC_BGT_p3,96,2.866666667,0.956846673,101231.2,108325.5,229008.5101
SC_BGT_p3,10,1.666666667,0.471404521,334517.6667,334517.6667,254525.4889
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,10,1.666666667,0.942809042,33024.33333,33024.33333,17920.40515
SC_BGT_p3,119,2.476190476,1.295378144,182949.8947,177316.8889,218040.6017
SC_BGT_p3,198,2.555555556,1.039349274,171410.7813,163881.9,246439.888
SC_BGT_p3,231,2.552631579,0.992004043,114316.3824,109164.0303,218917.3805
SC_BGT_p3,181,3.142857143,1.355261854,16470.17647,16470.17647,26838.01583
SC_BGT_p3,115,2.789473684,1.150695322,84848.88235,84848.88235,173447.6776
SC_BGT_p3,138,2.409090909,1.230635125,215467.65,222287.5263,253898.0767
SC_BGT_p3,75,2.538461538,0.745796901,93354.30769,93354.30769,185782.6009
SC_BGT_p3,106,2.933333333,1.06249183,100931.2857,56060.69231,238192.0832
SC_BGT_p3,60,2.214285714,0.673855795,118814.3077,109264.3333,118195.7182
SC_BGT_p4,381,2.706896552,1.129672224,107827.8776,86593.54762,168180.6347
SC_BGT_p4,402,2.727272727,1.409335267,107903.3333,90141.4902,174783.4869
SC_BGT_p4,66,2.7,0.781024968,90310.55556,90310.55556,130323.2063
SC_BGT_p4,121,2.772727273,0.901101255,28802.45455,28802.45455,77825.80357
SC_BGT_p4,146,2.476190476,0.957131012,102205.8,103064.5263,201029.0803
